,000905.XSHG,open,close,high,low,volume,money,ACCER,ADTM,MAADTM,MTR,ATR,BIAS,CCI,CYE,DKX,KBJ,CYE,MFI,MTM,EMV,ROC,RSI,RSI10,RSI6,OSC,UDL,UDL,WR,MAWR,CHO,MACHO,DIF,DIFMA,CR,MASS,MAMASS,AMO,AMO1,AMO2,BR,AR
2016-01-19,1.0,5965.3551,6197.0947,6203.3998,5956.2253,8798101500.0,106185500293.0,0.006457687341779525,-0.08533643287065563,-0.17748683788991326,247.17450000000008,336.41674285714276,2.55785821333772,-57.52726401458324,0.20104952284333957,6530.876672222223,20.389337482512524,0.20104952284333957,23.578837506834844,-1477.2933000000003,-5.926289300621782,-18.64862558710392,42.120968110988166,26.863002579795545,26.0564316869356,-71124.68649999973,6300.873563749998,6471.465383958329,64.88866504082283,5.893291011051659,-1229424.4968994458,-1288054.279996461,-1068.7277959999983,-581.7527807999987,52.27225274991131,28.10052067586609,27.275036861420702,10618550.0293,9963099.001000002,10470688.10961,54.36481872878145,82.22574762421138
2016-01-20,0.0,6161.2319,6138.5031,6244.9612,6095.7216,9194751800.0,113394506635.0,0.005388592212326335,-0.05610852132071299,-0.17809305404166184,149.23959999999988,341.1431428571428,1.5830498560619226,-44.88763831423391,0.7120499230701757,6458.170854523812,27.703702913511506,0.7120499230701757,22.68193979641237,-1602.5438999999997,-5.948547933771365,-12.098697139675728,39.760279944413725,26.969484400774093,29.664911832720048,-68393.32199999962,6287.344368333332,6394.677227986111,65.99678819164781,20.548654623954423,-1148183.3592669477,-1342452.0748035607,-1132.7080879999976,-693.8302855999984,53.83925399554765,28.319921688383364,27.587833529803834,11339450.6635,10261855.0762,10241118.42399,51.57110159029733,77.05386390598899
2016-01-21,0.0,6031.1695,5886.8835,6191.3173,5886.8835,8188276500.0,100555303501.0,0.002480064366825167,-0.20354851580586958,-0.17347011004006196,304.4337999999998,352.4661999999999,-2.4809293392984815,-65.67196922941238,-0.7844144725326534,6374.9281328571415,27.5877276954153,-0.7844144725326534,23.031648137022575,-1730.8055000000004,-6.0785069803766545,-14.555808411375693,30.850088230415658,27.690575962195076,32.28889498204936,-84123.28449999969,6229.814887083332,6337.364013333331,83.37239077253709,69.11653491692951,-1105222.4065484256,-1329730.7630999025,-1154.2883879999972,-796.1287243999983,46.79410693140981,28.49870660252786,27.875195472576184,10055530.3501,10187858.6294,10898856.01123,47.66485296409459,76.05413426521142
2016-01-22,1.0,5954.3643,5980.6111,6013.9706,5799.7117,6983070900.0,84429369084.0,-0.005129980780726598,-0.26243956309681343,-0.17163931471779784,214.2588999999998,321.9978357142856,-0.5322571587142886,-73.74477698016342,0.2888482977456537,6298.833757380953,32.90552023246986,0.2888482977456537,23.47111137065384,-1002.7929000000004,-4.273890474903266,-15.356018244433912,37.146213165495986,28.331622493456997,33.72397884091968,-65888.39499999958,6179.220195833332,6284.14398,68.40232080857187,55.09412578254052,-1188749.100295597,-1288523.6131580828,-1179.2336599999999,-890.1727264000004,42.92220705881498,28.578580062952618,28.12136126463898,8442936.9084,9830899.86406,10353809.70036,47.86897492566107,73.46307770795364
2016-01-25,1.0,6034.0844,6041.3261,6093.2693,5976.3363,6530851400.0,78677683156.0,-0.007770300629856772,-0.2788092979659308,-0.17144821314666214,116.93299999999999,302.2859785714285,0.06799624068757988,-43.544486425923004,0.20680703730700042,6240.650497063492,41.18212227581286,0.20680703730700042,30.068460810367554,-848.4148999999998,-3.2212568612342003,-6.513479917112375,41.300762479929716,29.815702897932418,36.70443768812167,-51062.90549999967,6150.174816249999,6246.077740347219,39.30586154754235,42.440300999092514,-892182.1842331965,-1166016.0746894416,-1157.4510120000004,-967.3164136000007,43.096433146244244,28.61579220898197,28.319820462339834,7867768.3156,9664847.253379999,9809390.120879998,46.14962888880621,69.99784128675095
2016-01-26,0.0,5966.7049,5589.3069,5982.4993,5573.8266,8544391700.0,98104095983.0,-0.016888494707635437,-0.4170058040033428,-0.1915891053937007,467.4994999999999,322.29087142857134,-6.412629371770534,-149.96043903630996,-2.009586661419862,6159.035313492062,33.53238947189005,-2.009586661419862,21.060414476466505,-1476.3001000000004,-3.7878406813622236,-14.932429100552291,25.966830315273086,30.3805016931238,36.19085569517611,-86194.5549999994,6056.127797499998,6200.592604791663,97.69341351198413,97.69341351198413,-873619.5635167519,-1072896.8517933935,-1169.5956600000018,-1032.6071236000007,37.635734270380965,28.68976099694477,28.467213705942736,9810409.5983,9503219.16718,9733159.084089998,41.70121787906581,63.667710664271716
2016-01-27,0.0,5604.1667,5514.1886,5628.1856,5240.6457,8792411800.0,95354931801.0,-0.020613984802768524,-0.4698180801245783,-0.2442689972837814,387.53989999999976,306.35557857142845,-5.876641686129893,-231.94511085445532,-2.1065636857296197,6066.251344603176,30.046046581152396,-2.1065636857296197,20.230398253495967,-948.0544,-2.15013722664211,-10.026136236068716,24.176784609843203,31.088099522754543,33.20015790104294,-82905.38799999922,5948.794653333333,6141.91278638889,72.76325019378866,72.76325019378866,-543584.5821023062,-958590.1993272047,-1167.857351999999,-1082.2126807999982,32.69000261758605,28.72403769880906,28.571133209766572,9535493.1801,9142427.6705,9702141.373349998,37.80551049019223,56.80606242715825
2016-01-28,0.0,5441.7378,5271.2325,5511.3206,5257.0812,6733807600.0,73152739267.0,-0.03691536467040686,-0.5007989791801329,-0.2842331492960045,257.1074000000008,291.3955357142857,-7.747604319619317,-214.50531312876,-2.1220332625493654,5969.141408412697,22.42433291070605,-2.1220332625493654,21.268498410631462,-1299.1994999999997,-1.78570170870941,-14.102623852735597,19.073601112820175,30.60215245843592,29.752380020133387,-94851.9254999992,5801.625267916665,6060.959602986107,96.95446301485937,96.78261136653288,-564190.0116363089,-861257.9747220982,-1208.101912,-1121.9667599999984,31.198836082688363,28.711881634766442,28.636459867497127,7315273.9267,8594376.385820001,9391117.507609999,34.99623554540629,55.74614330629323
2016-01-29,1.0,5262.4596,5469.1254,5515.4864,5248.215,7235909100.0,78303710591.0,-0.026740579032983804,-0.5230533443392943,-0.33894776322958436,267.27139999999963,278.8999928571428,-3.103539534671296,-138.48228002549655,-1.8012174894395792,5891.170487222222,20.600270519745646,-1.8012174894395792,28.151435598432872,-659.5306,-1.60938620711061,-7.679190093794041,32.91425320858335,31.261246571752174,30.09640791795015,-64319.81749999932,5728.564897916667,5977.417938124996,77.25020673284442,73.20274737879647,-415829.30649471376,-746359.1247131447,-1205.5676400000038,-1146.9928800000012,31.634291138593696,28.659395057931718,28.663241276731128,7830371.0591,8471863.215960002,9151381.54001,39.61927633923268,62.0377722814557
2016-02-01,0.0,5458.6048,5399.4771,5493.9818,5319.7007,6471611400.0,70863332935.0,-0.007865998727913645,-0.44423393745652895,-0.3874634402465614,174.28109999999924,276.28042857142844,-2.667277029981393,-110.05769281783827,-2.3017567450121743,5822.10219920635,18.947909999657448,-2.3017567450121743,29.069112865505844,-737.1858999999995,-1.3706191865771373,-11.842681091036145,30.696959384177774,31.44940070977723,29.02153411500269,-63365.01299999927,5652.628307499999,5889.652623402774,84.1851091614139,81.37145159951002,-529710.164814472,-636519.3021329573,-1215.3749120000039,-1165.8906420000014,34.06031915185056,28.72240445617621,28.68721200893506,7086333.2935,8315576.2115400005,8990211.732460001,39.89009510504846,62.215495965152115
